,Unnamed: 0,函数,稀疏性,运算,接口,时间(s),精度,时间bt,精度bt,时间比,精度比,Issue,Type
0,0,add,dense+dense,Col+Col,,0.003462,  0,0.000332,0,10.427710843373493,,good,consist
1,1,add,dense+dense,Col+Row,,Error,Error,Error,Error,,,err,consist
2,2,add,dense+scalar,Col+s,,0.001858,  0,0.000488,0,3.8073770491803276,,good,consist
3,3,add,dense+dense,Row+Col,,Error,Error,Error,Error,,,err,consist
4,4,add,dense+dense,Row+Row,,0.001880,  0,0.000786,0,2.3918575063613234,,good,consist
5,5,add,dense+scalar,Row+s,,0.001940,  0,0.000519,0,3.73795761078998,,good,consist
6,6,add,scalar+dense,s+Col,,0.001946,  0,0.000478,0,4.071129707112971,,good,consist
7,7,add,scalar+dense,s+Row,,0.001704,  0,0.000680,0,2.505882352941177,,good,consist
8,8,add,scalar+scalar,s+s,,0.000777,  0,0.000027,0,28.77777777777777,,good,consist
9,9,add,dense+sparse,Col+M,,Error,Error,Error,Error,,,err,consist
10,10,add,dense+sparse,Col+Col,,0.005169,  0,0.002386,0,2.166387259010897,,good,consist
11,11,add,dense+sparse,Col+Row,,Error,Error,Error,Error,,,err,consist
12,12,add,dense+sparse,Row+M,,Error,Error,Error,Error,,,err,consist
13,13,add,dense+sparse,Row+Col,,Error,Error,Error,Error,,,err,consist
14,14,add,dense+sparse,Row+Row,,0.004311,  0,0.002637,0,1.6348122866894197,,good,consist
15,15,add,scalar+sparse,s+M,,Error,Error,Error,Error,,,err,consist
16,16,add,scalar+sparse,s+Col,,0.005799,  0,0.002232,0,2.5981182795698925,,good,consist
17,17,add,scalar+sparse,s+Row,,0.003790,  0,0.002237,0,1.694233348234242,,good,consist
18,18,add,sparse+dense,M+Col,,Error,Error,Error,Error,,,err,consist
19,19,add,sparse+dense,M+Row,,Error,Error,Error,Error,,,err,consist
20,20,add,sparse+scalar,M+s,,Error,Error,Error,Error,,,err,consist
21,21,add,sparse+dense,Col+Col,,0.003958,  0,0.002624,0,1.5083841463414633,,good,consist
22,22,add,sparse+dense,Col+Row,,Error,Error,Error,Error,,,err,consist
23,23,add,sparse+scalar,Col+s,,0.003811,  0,0.002181,0,1.747363594681339,,good,consist
24,24,add,sparse+dense,Row+Col,,Error,Error,Error,Error,,,err,consist
25,25,add,sparse+dense,Row+Row,,0.004032,  0,0.002902,0,1.3893866299104065,,good,consist
26,26,add,sparse+scalar,Row+s,,0.003737,  0,0.003008,0,1.2423537234042554,,good,consist
27,0,amultiply,dense.*dense,Col.*Col,,0.001902,  0,0.000318,0,5.981132075471698,,good,consist
28,1,amultiply,dense.*dense,Col.*Row,,Error,Error,Error,Error,,,err,consist
29,2,amultiply,dense.*scalar,Col.*s,,0.002110,  0,0.000315,0,6.6984126984126995,,good,consist
30,3,amultiply,dense.*dense,Row.*Col,,Error,Error,Error,Error,,,err,consist
31,4,amultiply,dense.*dense,Row.*Row,,0.001919,  0,0.000414,0,4.635265700483092,,good,consist
32,5,amultiply,dense.*scalar,Row.*s,,0.001830,  0,0.000544,0,3.3639705882352944,,good,consist
33,6,amultiply,scalar.*dense,s.*Col,,0.001857,  0,0.001513,0,1.2273628552544613,,good,consist
34,7,amultiply,scalar.*dense,s.*Row,,0.001875,  0,0.000668,0,2.80688622754491,,good,consist
35,8,amultiply,scalar.*scalar,s.*s,,0.000694,  0,0.000039,0,17.794871794871796,,good,consist
36,9,amultiply,dense.*sparse,Col.*M,,0.021240,  0,0.111458,0,0.1905650558954943,,good,consist
37,10,amultiply,dense.*sparse,Col.*Col,,0.004978,  0,0.009414,0,0.5287869131081367,,good,consist
38,11,amultiply,dense.*sparse,Col.*Row,,TIME_OUT,TIME_OUT,TIME_OUT,TIME_OUT,,,TIME_OUT,consist
39,12,amultiply,dense.*sparse,Row.*M,,0.025753,  0,0.109534,0,0.23511421111253128,,good,consist
40,13,amultiply,dense.*sparse,Row.*Col,,TIME_OUT,TIME_OUT,TIME_OUT,TIME_OUT,,,TIME_OUT,consist
41,14,amultiply,dense.*sparse,Row.*Row,,0.006104,  0,0.013848,0,0.44078567302137495,,good,consist
42,15,amultiply,scalar.*sparse,s.*M,,0.017878,  0,Error,Error,,,bt_err,INconsist
43,16,amultiply,scalar.*sparse,s.*Col,,0.005599,  0,0.007104,0,0.7881475225225224,,good,consist
44,17,amultiply,scalar.*sparse,s.*Row,,0.005313,  0,0.012283,0,0.43254905153464135,,good,consist
45,18,amultiply,sparse.*dense,M.*Col,,0.022256,  0,0.140747,0,0.15812770432051837,,good,consist
46,19,amultiply,sparse.*dense,M.*Row,,0.022237,  0,0.141748,0,0.15687699297344582,,good,consist
47,20,amultiply,sparse.*scalar,M.*s,,0.017412,  0,Error,Error,,,bt_err,INconsist
48,21,amultiply,sparse.*dense,Col.*Col,,0.004872,  0,0.010316,0,0.47227607599844895,,good,consist
49,22,amultiply,sparse.*dense,Col.*Row,,TIME_OUT,TIME_OUT,TIME_OUT,TIME_OUT,,,TIME_OUT,consist
50,23,amultiply,sparse.*scalar,Col.*s,,0.005826,  0,0.009927,0,0.5868842550619522,,good,consist
51,24,amultiply,sparse.*dense,Row.*Col,,TIME_OUT,TIME_OUT,TIME_OUT,TIME_OUT,,,TIME_OUT,consist
52,25,amultiply,sparse.*dense,Row.*Row,,0.005769,  0,0.008894,0,0.6486395322689454,,good,consist
53,26,amultiply,sparse.*scalar,Row.*s,,0.004722,  0,0.013133,0,0.3595522729003274,,good,consist
54,0,minus,dense-dense,Col-Col,,0.001880,  0,0.000658,0,2.857142857142857,,good,consist
55,1,minus,dense-dense,Col-Row,,Error,Error,Error,Error,,,err,consist
56,2,minus,dense-scalar,Col-s,,0.001902,  0,0.000927,0,2.051779935275081,,good,consist
57,3,minus,dense-dense,Row-Col,,Error,Error,Error,Error,,,err,consist
58,4,minus,dense-dense,Row-Row,,0.001903,  0,0.000874,0,2.177345537757437,,good,consist
59,5,minus,dense-scalar,Row-s,,0.001867,  0,0.001110,0,1.6819819819819823,,good,consist
60,6,minus,scalar-dense,s-Col,,0.002018,  0,0.000975,0,2.06974358974359,,good,consist
61,7,minus,scalar-dense,s-Row,,0.001835,  0,0.001668,0,1.1001199040767387,,good,consist
62,8,minus,scalar-scalar,s-s,,0.000798,  0,0.000043,0,18.55813953488372,,good,consist
63,9,minus,dense-sparse,Col-M,,Error,Error,Error,Error,,,err,consist
64,10,minus,dense-sparse,Col-Col,,0.003937,  0,0.003955,0,0.995448798988622,,good,consist
65,11,minus,dense-sparse,Col-Row,,Error,Error,Error,Error,,,err,consist
66,12,minus,dense-sparse,Row-M,,Error,Error,Error,Error,,,err,consist
67,13,minus,dense-sparse,Row-Col,,Error,Error,Error,Error,,,err,consist
68,14,minus,dense-sparse,Row-Row,,0.004277,  0,0.005563,0,0.7688297681107317,,good,consist
69,15,minus,scalar-sparse,s-M,,Error,Error,Error,Error,,,err,consist
70,16,minus,scalar-sparse,s-Col,,0.006276,  0,0.002815,0,2.2294849023090584,,good,consist
71,17,minus,scalar-sparse,s-Row,,0.003688,  0,0.003314,0,1.1128545564272783,,good,consist
72,18,minus,sparse-dense,M-Col,,Error,Error,Error,Error,,,err,consist
73,19,minus,sparse-dense,M-Row,,Error,Error,Error,Error,,,err,consist
74,20,minus,sparse-scalar,M-s,,Error,Error,Error,Error,,,err,consist
75,21,minus,sparse-dense,Col-Col,,0.004211,  0,0.316765,0,0.013293766672454344,,good,consist
76,22,minus,sparse-dense,Col-Row,,Error,Error,Error,Error,,,err,consist
77,23,minus,sparse-scalar,Col-s,,0.003899,  0,0.193190,0,0.020182204047828563,,good,consist
78,24,minus,sparse-dense,Row-Col,,Error,Error,Error,Error,,,err,consist
79,25,minus,sparse-dense,Row-Row,,0.003837,  0,0.196846,0,0.01949239507025797,,good,consist
80,26,minus,sparse-scalar,Row-s,,0.004073,  0,0.192904,0,0.02111412930784224,,good,consist
81,0,mldivide,dense\dense,Col\Col,,0.042760,  0,0.078377,0,0.5455682151651632,,good,consist
82,1,mldivide,dense\dense,Col\Row,,Error,Error,Error,Error,,,err,consist
83,2,mldivide,dense\scalar,Col\s,,Error,Error,0.048284,0,,,mt_err,INconsist
84,3,mldivide,dense\dense,Row\Col,,Error,Error,Error,Error,,,err,consist
85,4,mldivide,dense\dense,Row\Row,,Error,Error,Error,Error,,,err,consist
86,5,mldivide,dense\scalar,Row\s,,0.010657,  0,0.001081,0,9.85846438482886,,good,consist
87,6,mldivide,scalar\dense,s\Col,,0.004646,  0,0.000689,0,6.743105950653121,,good,consist
88,7,mldivide,scalar\dense,s\Row,,0.001500,  0,0.000866,0,1.7321016166281755,,good,consist
89,8,mldivide,scalar\scalar,s\s,,0.000702,  0,0.000038,0,18.47368421052631,,good,consist
90,9,mldivide,dense\sparse,Col\M,,Error,Error,Error,Error,,,err,consist
91,10,mldivide,dense\sparse,Col\Col,,0.007513,  0,Error,Error,,,bt_err,INconsist
92,11,mldivide,dense\sparse,Col\Row,,Error,Error,Error,Error,,,err,consist
93,12,mldivide,dense\sparse,Row\M,,Error,Error,Error,Error,,,err,consist
94,13,mldivide,dense\sparse,Row\Col,,Error,Error,Error,Error,,,err,consist
95,14,mldivide,dense\sparse,Row\Row,,Error,Error,Error,Error,,,err,consist
96,15,mldivide,scalar\sparse,s\M,,0.017010,  0,Error,Error,,,bt_err,INconsist
97,16,mldivide,scalar\sparse,s\Col,,0.003879,  0,Error,Error,,,bt_err,INconsist
98,17,mldivide,scalar\sparse,s\Row,,0.004117,  0,Error,Error,,,bt_err,INconsist
99,18,mldivide,sparse\dense,M\Col,,0.257577,  0,TIME_OUT,TIME_OUT,,,bt_TIME_OUT,INconsist
100,19,mldivide,sparse\dense,M\Row,,Error,Error,Error,Error,,,err,consist
101,20,mldivide,sparse\scalar,M\s,,Error,Error,TIME_OUT,TIME_OUT,,,mt_err,INconsist
102,21,mldivide,sparse\dense,Col\Col,,0.022478,  2.220446049250313e-16,Error,Error,,,bt_err,INconsist
103,22,mldivide,sparse\dense,Col\Row,,Error,Error,Error,Error,,,err,consist
104,23,mldivide,sparse\scalar,Col\s,,Error,Error,Error,Error,,,err,consist
105,24,mldivide,sparse\dense,Row\Col,,Error,Error,Error,Error,,,err,consist
106,25,mldivide,sparse\dense,Row\Row,,TIME_OUT,TIME_OUT,Error,Error,,,bt_err,INconsist
107,26,mldivide,sparse\scalar,Row\s,,0.013786,  0,Error,0,,,bt_err,INconsist
108,0,mrdivide,dense/dense,Col/Col,,Error,Error,0.008993,0,,,mt_err,INconsist
109,1,mrdivide,dense/dense,Col/Row,,Error,Error,Error,Error,,,err,consist
110,2,mrdivide,dense/scalar,Col/s,,0.002865,  0,0.001042,0,2.7495201535508635,,good,consist
111,3,mrdivide,dense/dense,Row/Col,,Error,Error,Error,Error,,,err,consist
112,4,mrdivide,dense/dense,Row/Row,,0.007559,  0,Error,Error,,,bt_err,INconsist
113,5,mrdivide,dense/scalar,Row/s,,0.002302,  0,0.001401,0,1.6431120628122768,,good,consist
114,6,mrdivide,scalar/dense,s/Col,,0.011377,  0,0.001295,0,8.785328185328186,,good,consist
115,7,mrdivide,scalar/dense,s/Row,,Error,Error,0.001039,0,,,mt_err,INconsist
116,8,mrdivide,scalar/scalar,s/s,,0.000679,  0,0.000042,0,16.166666666666668,,good,consist
117,9,mrdivide,dense/sparse,Col/M,,Error,Error,Error,Error,,,err,consist
118,10,mrdivide,dense/sparse,Col/Col,,TIME_OUT,TIME_OUT,Error,Error,,,bt_err,INconsist
119,11,mrdivide,dense/sparse,Col/Row,,Error,Error,Error,Error,,,err,consist
120,12,mrdivide,dense/sparse,Row/M,,0.212130,  0,Error,Error,,,bt_err,INconsist
121,13,mrdivide,dense/sparse,Row/Col,,Error,Error,Error,Error,,,err,consist
122,14,mrdivide,dense/sparse,Row/Row,,0.018055,  2.220446049250313e-16,Error,Error,,,bt_err,INconsist
123,15,mrdivide,scalar/sparse,s/M,,Error,Error,Error,Error,,,err,consist
124,16,mrdivide,scalar/sparse,s/Col,,0.012661,  1.814743056344590e+00,Error,Error,,,bt_err,INconsist
125,17,mrdivide,scalar/sparse,s/Row,,Error,Error,Error,Error,,,err,consist
126,18,mrdivide,sparse/dense,M/Col,,Error,Error,TIME_OUT,TIME_OUT,,,mt_err,INconsist
127,19,mrdivide,sparse/dense,M/Row,,Error,Error,Error,Error,,,err,consist
128,20,mrdivide,sparse/scalar,M/s,,0.033370,  0,TIME_OUT,TIME_OUT,,,bt_TIME_OUT,INconsist
129,21,mrdivide,sparse/dense,Col/Col,,Error,Error,Error,Error,,,err,consist
130,22,mrdivide,sparse/dense,Col/Row,,Error,Error,Error,Error,,,err,consist
131,23,mrdivide,sparse/scalar,Col/s,,0.003620,  0,Error,Error,,,bt_err,INconsist
132,24,mrdivide,sparse/dense,Row/Col,,Error,Error,Error,Error,,,err,consist
133,25,mrdivide,sparse/dense,Row/Row,,0.009584,  0,Error,Error,,,bt_err,INconsist
134,26,mrdivide,sparse/scalar,Row/s,,0.004009,  0,Error,0,,,bt_err,INconsist
135,0,multiply,dense*dense,Col*Col,,Error,Error,Error,Error,,,err,consist
136,1,multiply,dense*dense,Col*Row,,Error,Error,Error,Error,,,err,consist
137,2,multiply,dense*scalar,Col*s,,0.001669,  0,0.001337,0,1.2483171278982799,,good,consist
138,3,multiply,dense*dense,Row*Col,,0.005831,  0,0.008632,0,0.6755097312326229,,good,consist
139,4,multiply,dense*dense,Row*Row,,Error,Error,Error,Error,,,err,consist
140,5,multiply,dense*scalar,Row*s,,0.001505,  0,0.001248,0,1.2059294871794872,,good,consist
141,6,multiply,scalar*dense,s*Col,,0.001564,  0,0.000625,0,2.5024,,good,consist
142,7,multiply,scalar*dense,s*Row,,0.001566,  0,0.001235,0,1.2680161943319839,,good,consist
143,8,multiply,scalar*scalar,s*s,,0.000671,  0,0.000043,0,15.604651162790699,,good,consist
144,9,multiply,dense*sparse,Col*M,,Error,Error,Error,Error,,,err,consist
145,10,multiply,dense*sparse,Col*Col,,Error,Error,Error,Error,,,err,consist
146,11,multiply,dense*sparse,Col*Row,,Error,Error,Error,Error,,,err,consist
147,12,multiply,dense*sparse,Row*M,,0.005597,  0,0.048261,0,0.11597356043181865,,good,consist
148,13,multiply,dense*sparse,Row*Col,,0.003744,  1.673470251262188e-10,0.007101,  1.673470251262188e-10,0.5272496831432192,1.0,good,consist
149,14,multiply,dense*sparse,Row*Row,,Error,Error,Error,Error,,,err,consist
150,15,multiply,scalar*sparse,s*M,,0.016177,  0,Error,Error,,,bt_err,INconsist
151,16,multiply,scalar*sparse,s*Col,,0.003320,  0,0.007376,0,0.4501084598698482,,good,consist
152,17,multiply,scalar*sparse,s*Row,,0.004028,  0,0.007389,0,0.5451346596291786,,good,consist
153,18,multiply,sparse*dense,M*Col,,0.013225,  0,0.069046,0,0.19153897401732176,,good,consist
154,19,multiply,sparse*dense,M*Row,,Error,Error,Error,Error,,,err,consist
155,20,multiply,sparse*scalar,M*s,,0.019584,  0,Error,Error,,,bt_err,INconsist
156,21,multiply,sparse*dense,Col*Col,,Error,Error,Error,Error,,,err,consist
157,22,multiply,sparse*dense,Col*Row,,Error,Error,Error,Error,,,err,consist
158,23,multiply,sparse*scalar,Col*s,,0.005277,  0,0.008286,0,0.6368573497465605,,good,consist
159,24,multiply,sparse*dense,Row*Col,,0.004209,  1.673470251262188e-10,0.005969,  1.673470251262188e-10,0.7051432400737143,1.0,good,consist
160,25,multiply,sparse*dense,Row*Row,,Error,Error,Error,Error,,,err,consist
161,26,multiply,sparse*scalar,Row*s,,0.006924,  0,0.007218,0,0.9592684954280963,,good,consist
0,0,abs,sparse,M,,0.012263,Error,0.051056,Error,0.24018724537762456,,good,consist
1,1,abs,dense,Col,,0.001387,Error,0.019118,Error,0.07254942985667957,,good,consist
2,2,abs,sparse,Col,,0.00317,Error,0.00385,Error,0.8233766233766233,,good,consist
3,3,abs,dense,Row,,0.001527,Error,0.018734,Error,0.08150955482011316,,good,consist
4,4,abs,sparse,Row,,0.003276,Error,0.0068909999999999996,Error,0.4754026991728341,,good,consist
5,0,amd,dense,M,P=amd(S),0.03595,Error,0.138674,Error,0.2592410978265573,,good,consist
6,1,amd,sparse,M,P=amd(S),0.038403,Error,0.126389,Error,0.3038476449691033,,good,consist
7,0,bicg,sparse\dense,M\v1,,0.120428,  2.695795053506586e+03,3.8123970000000003,  2.665599184853961e+03,0.031588525539181775,1.011327985401631,good,consist
8,1,bicg,sparse\sparse,M\v1,,0.126165,  2.695795053506586e+03,3.7246269999999995,  2.665599184853961e+03,0.03387319052350746,1.011327985401631,good,consist
9,0,bicgstab,sparse\dense,M\v1,,0.13808800000000002,  2.568312898543950e+02,2.666315,  2.451665362091524e+02,0.05178982978380275,1.0475788981057812,good,consist
10,1,bicgstab,sparse\sparse,M\v1,,0.13989400000000002,  2.568312898543950e+02,2.6581069999999998,  2.451665362091524e+02,0.05262918309910024,1.0475788981057812,good,consist
11,0,bicgstabl,sparse\dense,M\v1,,0.325721,  2.972151890046206e+01,3.8296699999999997,  2.171530810303156e+01,0.08505197575770236,1.3686897169242924,good,consist
12,1,bicgstabl,sparse\sparse,M\v1,,0.318146,  2.972151890046206e+01,3.8136769999999998,  2.171530810303156e+01,0.0834223768819436,1.3686897169242924,good,consist
0,0,cgs,sparse\dense,M\v1,,0.140231,  3.628130136990085e+02,2.056066,  4.159942917751264e+02,0.06820354988604452,0.8721586350399586,good,consist
1,1,cgs,sparse\sparse,M\v1,,0.153790,  3.628130136990085e+02,2.051021,  4.159942917751264e+02,0.07498216741808104,0.8721586350399586,good,consist
2,0,colamd,sparse,M,P=colamd(S),0.203428,Error,0.343062,Error,0.5929773626924579,,good,consist
3,1,colamd,sparse,M,"[P,stats]=colamd(S,[10,10,0])",0.188919,Error,0.335855,Error,0.5625016748299118,,good,consist
4,2,colamd,sparse,M,"[P,stats]=colamd(S,[10,10,1])",0.180940,Error,0.337152,Error,0.5366718868640851,,good,consist
5,3,colamd,sparse,M,"[P,stats]=colamd(S,[-10,-10,0])",0.197387,Error,0.337631,Error,0.5846234498609427,,good,consist
6,4,colamd,sparse,M,"[P,stats]=colamd(S,[-10,-10,1])",0.197180,Error,0.336770,Error,0.5855034593342638,,good,consist
7,0,ctranspose,sparse,M,,0.018309,  0,0.051869,0,0.35298540554088176,,good,consist
8,1,ctranspose,dense,Col,,0.000686,  0,0.000290,0,2.3655172413793104,,good,consist
9,2,ctranspose,sparse,Col,,0.002526,  0,0.003622,0,0.6974047487575925,,good,consist
10,3,ctranspose,dense,Row,,0.000896,  0,0.000414,0,2.164251207729469,,good,consist
11,4,ctranspose,sparse,Row,,0.002128,  0,0.003344,0,0.6363636363636365,,good,consist
12,0,diag,sparse,M,"diag(X,0)",0.004353,Error,0.023063,Error,0.18874387547153448,,good,consist
13,1,diag,sparse,M,"diag(X,1)",0.005707,Error,0.023424,Error,0.24363900273224046,,good,consist
